дом, house, dwelling place
книга, book, a written or printed work; to reserve or to buy something in advance
машина, car, automobile
стол, table, furniture for eating or working
стул, chair, a piece of furniture for sitting
компьютер, computer, an electronic device for processing data
телефон, phone, a device for making calls
дерево, tree, a tall plant with a trunk and branches
собака, dog, a domesticated canine animal
кошка, cat, a domesticated feline animal
книжная полка, bookshelf, a piece of furniture for storing books
ручка, pen, a writing instrument
бумага, paper, a material for writing or printing
дверь, door, an entrance or exit barrier
окно, window, an opening in a wall with glass
цветок, flower, a colorful plant bloom
вода, water, a liquid essential for life
еда, food, nourishment for the body
небо, sky, the expanse above the Earth
солнце, sun, the star that provides light and heat to the Earth
